,Total_Capacity_in_kWh_month,Total_Availability_day_in_hours,Total_Availability_evening_in_hours,Total_Reliability,Total_Quality,Total_Legality,Total_Health
514,6.98,19.0,3.0,1.0,No,2,No
515,0.0,,Missing_data,Missing_data,,-1,
516,0.0,,Missing_data,Missing_data,,-1,
517,4.65,1.0,1.0,2.0,No,1,No
518,0.0,,Missing_data,Missing_data,,-1,
519,0.0,,Missing_data,Missing_data,,-1,
520,0.0,,Missing_data,Missing_data,,-1,
521,0.0,,Missing_data,Missing_data,,0,
522,4.65,15.0,3.0,2.0,No,1,No
523,0.0,5.0,3.0,8.0,Missing_data,1,No
524,4.65,24.0,4.0,Missing_data,No,1,No
525,6.98,12.0,4.0,Missing_data,No,1,No
526,0.0,,Missing_data,Missing_data,,0,
527,5.58,20.0,3.0,Missing_data,No,1,No
528,0.0,,Missing_data,Missing_data,,-1,
529,0.0,,Missing_data,Missing_data,,-1,
530,0.0,,Missing_data,Missing_data,,-1,
531,18.6,3.0,1.0,3.0,Yes,1,No
532,0.0,,Missing_data,Missing_data,,-1,
533,13.95,22.0,3.0,Missing_data,Missing_data,1,No
534,2.33,22.0,4.0,Missing_data,No,1,No
535,2.33,21.0,4.0,Missing_data,No,1,Yes
